,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste,lat,lon
48,1215,Alain Ducasse,France,2014,Madagascar,Madagascar,75,3,5,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_salt,have_sugar,have_not_sweetener_without_sugar,citrus,fatty,dairy,,50.23312,3.17217
49,1215,Alain Ducasse,France,2014,Trinidad,Trinite,65,2.75,6,have_bean,have_cocoa_butter,have_vanila,have_lecithin,have_salt,have_sugar,have_not_sweetener_without_sugar,roasty,sweet,savory,,50.23312,3.17217
50,1215,Alain Ducasse,France,2014,Vietnam,Vietnam,75,2.75,5,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_salt,have_sugar,have_not_sweetener_without_sugar,nutty,roasty,odd dairy,,50.23312,3.17217
51,1992,Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",75,3.5,6,have_bean,have_cocoa_butter,have_vanila,have_lecithin,have_salt,have_sugar,have_not_sweetener_without_sugar,strawberry,cream,gateway,,50.23312,3.17217
52,1944,Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",70,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,green,floral,,51.14212,-5.11457
53,1944,Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",70,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,sweet,nibby,,51.14212,-5.11457
54,1944,Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",70,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,melon,banana,,51.14212,-5.11457
55,1944,Alexandre,Netherlands,2017,Vietnam,Tien Giang,70,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,sweet,roasty,,51.14212,-5.11457
56,1129,Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 101",80,3.25,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,gritty,berry,mild bitter,,37.34224,-115.1427
57,1133,Altus aka Cao Artisan,U.S.A,2013,Peru,"Peru, batch 148",60,3.25,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,gritty,too sweet,fruit,,37.34224,-115.1427
58,1125,Altus aka Cao Artisan,U.S.A,2013,Dominican republic,"Conacado, batch 130",60,3,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,sweet,dairy,spice,37.34224,-115.1427
59,1133,Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 154",60,3,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,grit,sweet,caramel,fruit,37.34224,-115.1427
60,1125,Altus aka Cao Artisan,U.S.A,2013,Venezuela,Sur del Lago,60,2.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sweet,moldy,off,,37.34224,-115.1427
61,1728,Altus aka Cao Artisan,U.S.A,2016,Peru,Acopagro,60,3,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,dry,sweet,caramel,,37.34224,-115.1427
